,speed,time
262,8.4312,2014/1/12 23:05
263,9.81691,2014/1/13 0:05
264,8.55556,2014/1/13 1:05
265,8.6121,2014/1/13 2:05
266,6.75954,2014/1/13 3:05
267,4.31591,2014/1/13 4:05
268,5.12109,2014/1/13 5:05
269,4.20487,2014/1/13 7:05
270,5.86893,2014/1/13 8:05
271,1.66469,2014/1/13 9:05
272,0.76172,2014/1/13 10:05
273,0.98381,2014/1/13 11:05
274,4.82913,2014/1/13 12:05
275,5.643,2014/1/13 14:05
276,4.843,2014/1/13 16:05
277,7.30079,2014/1/13 18:05
278,7.87306,2014/1/13 19:05
279,6.26861,2014/1/13 20:05
280,4.42866,2014/1/13 21:05
281,3.53611,2014/1/13 22:05
282,1.47332,2014/1/13 23:05
283,1.28585,2014/1/14 0:05
284,3.05654,2014/1/14 1:05
285,2.40038,2014/1/14 2:05
286,3.66145,2014/1/14 3:05
287,3.73445,2014/1/14 4:05
288,4.29189,2014/1/14 5:05
289,3.62768,2014/1/14 6:05
290,3.52995,2014/1/14 7:05
291,3.81861,2014/1/14 8:05
292,2.88767,2014/1/14 9:05
293,3.17631,2014/1/14 10:05
294,6.30829,2014/1/14 11:05
295,5.84365,2014/1/14 12:05
296,7.57407,2014/1/14 13:05
297,7.62375,2014/1/14 14:05
298,7.38262,2014/1/14 15:05
299,6.83991,2014/1/14 16:05
300,5.57568,2014/1/14 17:05
301,7.99774,2014/1/14 18:05
302,8.99559,2014/1/14 19:05
303,4.1757,2014/1/14 20:05
304,3.31534,2014/1/14 22:05
305,2.66662,2014/1/14 23:05
306,3.6863,2014/1/15 0:05
307,3.61694,2014/1/15 1:05
308,4.02534,2014/1/15 2:05
309,2.72961,2014/1/15 3:05
310,3.61898,2014/1/15 4:05
311,4.28332,2014/1/15 5:05
312,4.99958,2014/1/15 6:05
313,3.04907,2014/1/15 7:05
314,2.71005,2014/1/15 8:05
315,4.45712,2014/1/15 9:05
316,3.65548,2014/1/15 10:05
317,3.8899,2014/1/15 11:05
318,5.47753,2014/1/15 12:05
319,4.08448,2014/1/15 13:05
320,6.02036,2014/1/15 14:05
321,4.67229,2014/1/15 15:05
322,4.65328,2014/1/15 16:05
323,4.89785,2014/1/15 17:05
324,8.25042,2014/1/15 18:05
325,9.80455,2014/1/15 19:05
326,7.61774,2014/1/15 21:05
327,4.16694,2014/1/15 22:05
328,6.61121,2014/1/15 23:05
329,5.83726,2014/1/16 0:05
330,5.93633,2014/1/16 1:05
331,6.13754,2014/1/16 2:05
332,6.20994,2014/1/16 4:05
333,8.81568,2014/1/16 5:05
334,5.45396,2014/1/16 7:05
335,7.71145,2014/1/16 8:05
336,4.01994,2014/1/16 9:05
337,6.0892,2014/1/16 10:05
338,5.66373,2014/1/16 11:05
339,6.20208,2014/1/16 12:05
340,3.65958,2014/1/16 13:05
341,4.51073,2014/1/16 14:05
342,4.48403,2014/1/16 15:05
343,2.92576,2014/1/16 17:05
344,0.61372,2014/1/16 18:05
345,1.92448,2014/1/16 19:05
346,4.99433,2014/1/16 21:05
347,7.48146,2014/1/16 22:05
348,9.10694,2014/1/16 23:05
