,speed,time
419,5.6398,2014/1/10 22:05
420,6.28459,2014/1/10 22:35
421,6.10274,2014/1/10 23:05
422,7.38005,2014/1/10 23:35
423,8.5215,2014/1/11 0:05
424,6.04725,2014/1/11 1:05
425,5.76552,2014/1/11 1:35
426,4.79717,2014/1/11 2:05
427,6.68416,2014/1/11 2:35
428,8.9232,2014/1/11 3:05
429,6.58273,2014/1/11 3:35
430,8.09086,2014/1/11 4:05
431,8.39136,2014/1/11 4:35
432,10.2885,2014/1/11 5:05
433,10.2002,2014/1/11 5:35
434,7.77811,2014/1/11 6:05
435,7.20554,2014/1/11 6:35
436,8.0289,2014/1/11 7:05
437,6.25151,2014/1/11 7:35
438,6.67528,2014/1/11 8:05
439,5.81445,2014/1/11 8:35
440,8.2424,2014/1/11 9:05
441,5.57551,2014/1/11 9:35
442,5.08195,2014/1/11 10:05
443,5.6953,2014/1/11 10:35
444,8.32607,2014/1/11 11:05
445,8.80549,2014/1/11 11:35
446,10.0023,2014/1/11 12:05
447,9.23469,2014/1/11 12:35
448,11.0425,2014/1/11 13:05
449,13.835,2014/1/11 13:35
450,12.5104,2014/1/11 14:05
451,10.9581,2014/1/11 14:35
452,10.4497,2014/1/11 15:05
453,9.76915,2014/1/11 15:35
454,15.7522,2014/1/11 16:05
455,10.732,2014/1/11 16:35
456,10.0649,2014/1/11 17:05
457,9.64786,2014/1/11 17:35
458,10.0974,2014/1/11 18:05
459,11.1991,2014/1/11 18:35
460,5.73869,2014/1/11 19:05
461,5.32595,2014/1/11 19:35
462,9.82017,2014/1/11 20:05
463,6.00977,2014/1/11 20:35
464,10.0656,2014/1/11 21:05
465,7.90888,2014/1/11 22:05
466,7.33593,2014/1/11 22:35
467,8.19424,2014/1/11 23:05
468,8.12778,2014/1/11 23:35
469,6.61584,2014/1/12 0:05
470,6.99303,2014/1/12 0:35
471,4.62678,2014/1/12 1:05
472,6.18296,2014/1/12 1:35
473,6.58163,2014/1/12 2:05
474,9.32745,2014/1/12 3:05
475,8.92377,2014/1/12 3:35
476,7.92146,2014/1/12 4:05
477,5.58498,2014/1/12 4:35
478,6.85443,2014/1/12 5:05
479,5.33321,2014/1/12 5:35
480,4.27203,2014/1/12 6:05
481,6.95599,2014/1/12 6:35
482,8.16785,2014/1/12 7:05
483,8.92287,2014/1/12 7:35
484,7.9961,2014/1/12 8:05
485,7.6296,2014/1/12 8:35
486,5.84622,2014/1/12 9:05
487,5.81925,2014/1/12 9:35
488,4.30558,2014/1/12 10:05
489,6.46312,2014/1/12 10:35
490,5.18228,2014/1/12 11:05
491,6.973,2014/1/12 11:35
492,7.82968,2014/1/12 12:05
493,8.59727,2014/1/12 12:35
494,9.81305,2014/1/12 13:05
495,7.60654,2014/1/12 13:35
496,7.41032,2014/1/12 14:05
497,8.18255,2014/1/12 14:35
498,8.48054,2014/1/12 15:05
499,8.14512,2014/1/12 15:35
500,8.86733,2014/1/12 16:05
501,9.79965,2014/1/12 16:35
502,8.14581,2014/1/12 17:35
503,4.81226,2014/1/12 18:05
504,5.78976,2014/1/12 18:35
505,4.24492,2014/1/12 19:05
506,5.72835,2014/1/12 19:35
507,3.74264,2014/1/12 20:05
508,5.6359,2014/1/12 20:35
509,5.8143,2014/1/12 21:05
510,5.30344,2014/1/12 21:35
511,7.54702,2014/1/12 22:05
